titre;marque;modele;version;prix;annee;date_mec;kilometrage;carburant;puissance;vendeur;localisation;source;lien;modele_unifie;image
Volkswagen Golf VIII (2) 2.0 TDI 150 R-LINE DSG7 TOIT OUVRANT / CAMERA 360;Volkswagen;GOLF;VIII (2) 2.0 TDI 150 R-LINE DSG7 TOIT OUVRANT / CAMERA 360;36290 €;2026;03/2026;10 km;Diesel;110 kW (150 Ch);Garage Lecat et Fils;FR-71200 Le Creusot;autoscout24;https://www.autoscout24.fr/offres/volkswagen-golf-diesel-24fc5da9-acaf-4d8c-954d-e27df0942bba;GOLF;https://prod.pictures.autoscout24.net/listing-images/24fc5da9-acaf-4d8c-954d-e27df0942bba_d117207a-dfeb-44aa-aae4-f4e25585ab64.jpg/250x188.webp
Xpeng G6 PERFORMANCE 80 KWH AWD;Xpeng;G6;PERFORMANCE 80 KWH AWD;45890 €;2026;03/2026;10 km;Électrique;357 kW (485 Ch);Garage Lecat et Fils;FR-71200 Le Creusot;autoscout24;https://www.autoscout24.fr/offres/xpeng-g6-électrique-d6c3510d-9248-496d-bb48-63287ab696ac;G6;https://prod.pictures.autoscout24.net/listing-images/d6c3510d-9248-496d-bb48-63287ab696ac_65617d0e-73f4-4a54-81f5-370f8affa781.jpg/250x188.webp
Xpeng G6 PERFORMANCE 80 KWH AWD AVEC ATTELAGE;Xpeng;G6;PERFORMANCE 80 KWH AWD AVEC ATTELAGE;46890 €;2026;03/2026;10 km;Électrique;357 kW (485 Ch);Garage Lecat et Fils;FR-71200 Le Creusot;autoscout24;https://www.autoscout24.fr/offres/xpeng-g6-électrique-3bbac262-b351-4581-83a5-f158687e9363;G6;https://prod.pictures.autoscout24.net/listing-images/3bbac262-b351-4581-83a5-f158687e9363_61c35235-8c90-40f2-abc6-d3f97ad3b216.jpg/250x188.webp
Xpeng G6 PERFORMANCE 80 KWH AWD;Xpeng;G6;PERFORMANCE 80 KWH AWD;45890 €;2026;03/2026;10 km;Électrique;357 kW (485 Ch);Garage Lecat et Fils;FR-71200 Le Creusot;autoscout24;https://www.autoscout24.fr/offres/xpeng-g6-électrique-5b723941-ce91-4983-ac8a-f7108b1080cc;G6;https://prod.pictures.autoscout24.net/listing-images/5b723941-ce91-4983-ac8a-f7108b1080cc_1c1a680d-6601-44bb-b8fd-b5bf5b055ad5.jpg/250x188.webp
Xpeng G6 PERFORMANCE 80 KWH AWD;Xpeng;G6;PERFORMANCE 80 KWH AWD;46890 €;2026;03/2026;10 km;Électrique;357 kW (485 Ch);Garage Lecat et Fils;FR-71200 Le Creusot;autoscout24;https://www.autoscout24.fr/offres/xpeng-g6-électrique-6f14265e-6285-4aed-8004-ccee3b1c95ad;G6;https://prod.pictures.autoscout24.net/listing-images/6f14265e-6285-4aed-8004-ccee3b1c95ad_a3839a94-d512-4e2a-8c53-5d30f3c72daf.jpg/250x188.webp
Peugeot 308 III 1.2 Hybrid 145 e-DCS6 GT Exclusive TOIT OUVRANT / FOCAL;Peugeot;308;III 1.2 Hybrid 145 e-DCS6 GT Exclusive TOIT OUVRANT / FOCAL;31890 €;2026;03/2026;10 km;2;100 kW (136 Ch);Garage Lecat et Fils;FR-71200 Le Creusot;autoscout24;https://www.autoscout24.fr/offres/peugeot-308-f13dc0bf-9d98-4ba9-b6f3-cc1e48264ed6;308;https://prod.pictures.autoscout24.net/listing-images/f13dc0bf-9d98-4ba9-b6f3-cc1e48264ed6_d4f1fb80-f7c4-4a9a-8992-2d1535eaa221.jpg/250x188.webp
Citroen Jumper II 33 L2H1 HDI 130 FAP CLUB *HAYON DHOLLANDIA*;Citroen;JUMPER;II 33 L2H1 HDI 130 FAP CLUB *HAYON DHOLLANDIA*;11990 €;2015;07/2015;123100 km;Unknown;96 kW (131 Ch);AGENCE AUTOMOBILIERE VIROFLAY;FR-78220 Viroflay;autoscout24;https://www.autoscout24.fr/offres/citroen-jumper-f61074d9-11a0-4e85-b8bd-be100dcc7c1a;JUMPER;https://prod.pictures.autoscout24.net/listing-images/f61074d9-11a0-4e85-b8bd-be100dcc7c1a_1babbfad-ce0a-4d6f-bbe0-e1d9c33a7faa.jpg/250x188.webp
Xpeng G6 PERFORMANCE 80 KWH AWD;Xpeng;G6;PERFORMANCE 80 KWH AWD;45890 €;2026;03/2026;10 km;Électrique;357 kW (485 Ch);Garage Lecat et Fils;FR-71200 Le Creusot;autoscout24;https://www.autoscout24.fr/offres/xpeng-g6-électrique-707c7c8f-0a39-4cca-bf54-e9aabbd8d31e;G6;https://prod.pictures.autoscout24.net/listing-images/707c7c8f-0a39-4cca-bf54-e9aabbd8d31e_68428e43-8017-4c8a-8503-97d3fcd8994e.jpg/250x188.webp
Renault Trafic L2H1 FOURGON 3000 Kg 2.0 Blue dCi 150 BVA9 RED EDITION EXCLUSIVE AVEC ATTELAGE;Renault;TRAFIC;L2H1 FOURGON 3000 Kg 2.0 Blue dCi 150 BVA9 RED EDITION EXCLUSIVE AVEC ATTELAGE;36890 €;2026;01/2026;120 km;Diesel;110 kW (150 Ch);Garage Lecat et Fils;FR-71200 Le Creusot;autoscout24;https://www.autoscout24.fr/offres/renault-trafic-diesel-dd594713-e016-448a-a9e5-6d023944c5e7;TRAFIC;https://prod.pictures.autoscout24.net/listing-images/dd594713-e016-448a-a9e5-6d023944c5e7_5fa6f918-2a79-467d-b4db-cd6b4282f6a3.jpg/250x188.webp
Renault Trafic L2H1 FOURGON 3000 Kg 2.0 Blue dCi 150 BVA9 RED EDITION EXCLUSIVE AVEC ATTELAGE;Renault;TRAFIC;L2H1 FOURGON 3000 Kg 2.0 Blue dCi 150 BVA9 RED EDITION EXCLUSIVE AVEC ATTELAGE;36890 €;2026;01/2026;120 km;Diesel;110 kW (150 Ch);Garage Lecat et Fils;FR-71200 Le Creusot;autoscout24;https://www.autoscout24.fr/offres/renault-trafic-diesel-5bbe361f-f634-48f1-8ce0-7e09ea96583b;TRAFIC;https://prod.pictures.autoscout24.net/listing-images/5bbe361f-f634-48f1-8ce0-7e09ea96583b_2d998441-69e1-4ac3-a5b4-01fbfbc61172.jpg/250x188.webp
